ID,CADInterface,PriorExperience,TaskCompletion,TaskPerformance,CompletionTime ,errors,Preference,TLX_1,TLX_2,TLX_3,TLX_4,TLX_5,TLX_6,CSI_1,CSI_2,CSI_3,CSI_4,CSI_5,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
1,Onshape,N,1,3,585,5,Inventor,35,10,60,60,55,70,50,50,70,30,35,2,2,2,1,3,1,4,3,2,4
1,Inventor,Y,1,3,382,3,Inventor,40,15,50,45,45,45,40,55,55,35,45,3,2,4,2,3,2,4,3,3,2
1,Tinkercad,N,1,3,212,4,Inventor,20,10,20,30,25,10,35,45,35,35,40,3,1,4,1,2,2,5,3,4,2
2,Onshape,N,1,3,362,4,Inventor,25,0,40,50,50,15,35,50,35,60,45,4,2,4,2,4,2,4,2,4,2
2,Inventor,Y,1,3,450,4,Inventor,25,0,25,50,30,15,30,45,40,70,50,4,1,3,3,4,2,3,2,3,2
2,Tinkercad,N,0,1,600,6,Inventor,40,5,50,100,20,45,80,80,90,80,75,1,2,2,4,2,3,2,2,2,3
3,Onshape,N,1,3,600,4,Inventor,45,50,60,15,50,30,60,50,15,65,75,3,3,3,2,4,2,3,2,3,2
3,Inventor,Y,1,3,295,1,Inventor,25,30,35,5,20,25,15,20,15,50,25,4,2,4,2,3,2,3,3,4,2
3,Tinkercad,N,0,2,600,2,Inventor,20,25,65,90,30,95,90,80,90,50,95,1,5,1,4,1,5,2,5,2,4
4,Onshape,N,0,1,600,3,Inventor,65,5,90,100,55,65,55,75,100,75,80,2,2,1,4,3,2,4,2,1,3
4,Inventor,N,0,1,600,4,Inventor,65,5,60,60,35,40,30,55,35,65,55,2,1,3,2,4,1,3,1,3,2
4,Tinkercad,N,0,1,600,4,Inventor,5,5,65,100,55,100,95,100,100,100,100,1,1,1,2,1,3,5,4,2,1
5,Onshape,N,1,3,457,2,Inventor,50,5,20,40,70,10,55,40,50,50,45,2,3,2,4,3,3,3,2,2,3
5,Inventor,N,1,3,430,5,Inventor,10,5,5,5,30,15,50,35,55,45,40,4,2,3,3,4,2,4,3,2,3
5,Tinkercad,N,0,2,600,2,Inventor,40,10,75,100,90,75,95,50,90,35,70,1,1,1,5,1,3,3,5,1,4
6,Onshape,N,1,3,140,4,Inventor,25,10,30,15,25,25,20,20,15,35,35,3,2,4,2,4,2,3,2,4,2
6,Inventor,Y,1,3,532,0,Inventor,30,10,30,15,30,15,15,20,5,15,20,5,1,4,2,5,1,3,1,4,2
6,Tinkercad,N,0,1,600,1,Inventor,50,15,65,100,50,90,85,90,80,55,70,1,4,2,4,1,3,2,5,1,4
