ID,CADInterface,PriorExperience,TaskCompletion,Completiontime ,errors,TLX_1,TLX_2,TLX_3,TLX_4,TLX_5,TLX_6
1,Onshape,N,1,585,5,35,10,60,60,55,70
1,Inventor,Y,1,382,3,40,15,50,45,45,45
1,Tinkercad,N,1,212,4,20,10,20,30,25,10
2,Onshape,N,1,362,4,25,0,40,50,50,15
2,Inventor,Y,1,450,4,25,0,25,50,30,15
2,Tinkercad,N,0,600,6,40,5,50,100,20,45
3,Onshape,N,1,600,4,45,50,60,15,50,30
3,Inventor,Y,1,295,1,25,30,35,5,20,25
3,Tinkercad,N,0,600,2,20,25,65,90,30,95
4,Onshape,N,0,600,3,65,5,90,100,55,65
4,Inventor,N,0,600,4,65,5,60,60,35,40
4,Tinkercad,N,0,600,4,5,5,65,100,55,100
5,Onshape,N,1,457,2,50,5,20,40,70,10
5,Inventor,N,1,430,5,10,5,5,5,30,15
5,Tinkercad,N,0,600,2,40,10,75,100,90,75
6,Onshape,N,1,140,0,25,10,30,15,25,25
6,Inventor,Y,1,532,1,30,10,30,15,30,15
6,Tinkercad,N,0,600,4,50,15,65,100,50,90
