ID,CADInterface,PriorExperience,Preference,errors,CSI_1,CSI_2,CSI_3,CSI_4,CSI_5,,,,,,,,,,,,,,,,
1,Onshape,N,Inventor,5,50,50,70,30,35,,,,,,,,,,,,,,,,
1,Inventor,Y,Inventor,3,40,55,55,35,45,,,,,,,,,,,,,,,,
1,Tinkercad,N,Inventor,4,35,45,35,35,40,,,,,,,,,,,,,,,,
2,Onshape,N,Inventor,4,35,50,35,60,45,,,,,,,,,,,,,,,,
2,Inventor,Y,Inventor,4,30,45,40,70,50,,,,,,,,,,,,,,,,
2,Tinkercad,N,Inventor,6,80,80,90,80,75,,,,,,,,,,,,,,,,
3,Onshape,N,Inventor,4,60,50,15,65,75,,,,,,,,,,,,,,,,
3,Inventor,Y,Inventor,1,15,20,15,50,25,,,,,,,,,,,,,,,,
3,Tinkercad,N,Inventor,2,90,80,90,50,95,,,,,,,,,,,,,,,,
4,Onshape,N,Inventor,3,55,75,100,75,80,,,,,,,,,,,,,,,,
4,Inventor,N,Inventor,4,30,55,35,65,55,,,,,,,,,,,,,,,,
4,Tinkercad,N,Inventor,4,95,100,100,100,100,,,,,,,,,,,,,,,,
5,Onshape,N,Inventor,2,55,40,50,50,45,,,,,,,,,,,,,,,,
5,Inventor,N,Inventor,5,50,35,55,45,40,,,,,,,,,,,,,,,,
5,Tinkercad,N,Inventor,2,95,50,90,35,70,,,,,,,,,,,,,,,,
6,Onshape,N,Inventor,0,20,20,15,35,35,,,,,,,,,,,,,,,,
6,Inventor,Y,Inventor,1,15,20,5,15,20,,,,,,,,,,,,,,,,
6,Tinkercad,N,Inventor,4,85,90,80,55,70,,,,,,,,,,,,,,,,
